Token,BrownTag,GroundTruth
a,NOUN,NOUN
line,NOUN,NOUN
this,PRON,PRON
loooong,[],ADJ
at,ADP,ADP
time,NOUN,NOUN
warner,[],VERB
before,ADP,ADP
",",PUNCT,PUNCT
.,PUNCT,PUNCT
Having,[],VERB
the,DET,DET
old,ADJ,ADJ
Coca,NOUN,NOUN
Cola,NOUN,NOUN
guy,NOUN,NOUN
on,ADP,ADP
the,DET,DET
GM,NOUN,NOUN
board,NOUN,NOUN
is,VERB,VERB
stupid,ADJ,ADJ
has,VERB,VERB
.,PUNCT,PUNCT
tcot,[],NOUN
ala,[],NOUN
Just,ADV,ADV
got,[],VERB
my,DET,DET
new,ADJ,ADJ
toy,NOUN,NOUN
.,PUNCT,PUNCT
Canon,NOUN,NOUN
50D,[],NUM
.,PUNCT,PUNCT
Love,VERB,VERB
love,VERB,VERB
love,VERB,VERB
it,PRON,PRON
.,PUNCT,PUNCT
testing,NOUN,NOUN
Twitter,VERB,VERB
API,NOUN,NOUN
yahoo,NOUN,NOUN
answers,NOUN,NOUN
can,VERB,VERB
be,VERB,VERB
a,NOUN,NOUN
butt,NOUN,NOUN
sometimes,ADV,ADV
my,DET,DET
exam,NOUN,NOUN
went,VERB,VERB
good,ADJ,ADJ
.,PUNCT,PUNCT
HelloLeonie,[],NOUN
your,DET,DET
prayers,NOUN,NOUN
worked,VERB,VERB
