Token,BrownTag,GroundTruth
movies,NOUN,NOUN
to,ADP,ADP
watch,VERB,VERB
.,PUNCT,PUNCT
These,DET,DET
HDMI,NOUN,NOUN
cables,NOUN,NOUN
always,ADV,ADV
perform,VERB,VERB
for,ADP,ADP
me,NOUN,NOUN
and,CONJ,CONJ
the,DET,DET
price,NOUN,NOUN
is,VERB,VERB
unbeatable,ADJ,ADJ
.,PUNCT,PUNCT
I,PRON,PRON
found,VERB,VERB
the,DET,DET
Nighthawk,[],NOUN
very,ADJ,ADJ
easy,ADJ,ADJ
to,ADP,ADP
setup,NOUN,NOUN
.,PUNCT,PUNCT
123,NUM,NUM
.,PUNCT,PUNCT
The,DET,DET
directions,NOUN,NOUN
were,VERB,VERB
good,ADJ,ADJ
and,CONJ,CONJ
it,PRON,PRON
performed,VERB,VERB
fast,ADJ,ADJ
and,CONJ,CONJ
without,ADP,ADP
problem,NOUN,NOUN
from,ADP,ADP
the,DET,DET
time,NOUN,NOUN
I,PRON,PRON
first,NOUN,NOUN
turned,VERB,VERB
it,PRON,PRON
on,ADP,ADP
.,PUNCT,PUNCT
I,PRON,PRON
was,VERB,VERB
torn,ADJ,ADJ
on,ADP,ADP
my,DET,DET
choice,NOUN,NOUN
of,ADP,ADP
routers,NOUN,NOUN
but,CONJ,CONJ
I'm,VERB,VERB
glad,ADJ,ADJ
I,PRON,PRON
choose,VERB,VERB
NetGear,[],NOUN
.,PUNCT,PUNCT
Totally,ADV,ADV
love,VERB,VERB
it,PRON,PRON
.,PUNCT,PUNCT
Just,ADV,ADV
didnt,[],VERB
work,NOUN,NOUN
for,ADP,ADP
me,NOUN,NOUN
.,PUNCT,PUNCT
Sorry,ADJ,ADJ
With,ADP,ADP
four,NUM,NUM
people,NOUN,NOUN
running,NOUN,NOUN
multiple,NOUN,NOUN
WiFi,NOUN,NOUN
devices,NOUN,NOUN
all,PRON,PRON
while,CONJ,CONJ
streaming,NOUN,NOUN
television,NOUN,NOUN
this,PRON,PRON
router,NOUN,NOUN
works,NOUN,NOUN
great,ADJ,ADJ
.,PUNCT,PUNCT
Works,NOUN,NOUN
great,ADJ,ADJ
.,PUNCT,PUNCT
